brand,category,country,currency,description,domain,image,price,pricestring,reference,subcategory,timestamp,title,url
29_dell,Ordinateur de Bureau,TN,TND,"Ecran Dell 18.5"" HD - Résolution 1366 ",tunisianet.com.tn,https://www.tunisianet.com.tn/145128-home/ecran-dell-185-hd-e1916hv.jpg,"209,000","209,000 DT",E1916HV,Ordinateur de Bureau,2021-05-01 00:00:31.481284,"Ecran Dell 18.5"" HD E1916HV",https://www.tunisianet.com.tn/ecran-pc-tunisie/38468-ecran-dell-185-hd-e1916hv.html
6_hp,Ordinateur de Bureau,TN,TND,"Ecran Dell 18.5"" HD - Résolution 1366 ",tunisianet.com.tn,https://www.tunisianet.com.tn/147965-home/ecran-20-wxga-led-hp-20kd.jpg,"215,000","215,000 DT",T3U83AA,Ordinateur de Bureau,2021-05-01 00:00:32.183567,"Écran 20"" WXGA LED HP 20kd",https://www.tunisianet.com.tn/ecran-ordinateur-tunisie/39059-ecran-20-wxga-led-hp-20kd.html
96_bitdefe,Logiciels,TN,TND,"Antivirus Bitdefender Internet Security - Licence 1 Poste - Durée 1 an - Protège contre les virus, les logiciels espions, le phishing et les sites Web dangereux - Sécurise votre ordinateur sans le ralentir - S’installe et se configure facilement - Préserve la confidentialité de vos activités en ligne et de votre identité - Protection bancaire - Contrôle parental - Compatible avec PC, Mac et appareils mobiles",tunisianet.com.tn,https://www.tunisianet.com.tn/191578-home/antivirus-bitdefender-mobile-security-1-poste.jpg,"12,000","12,000 DT",191100,Logiciels,2021-05-01 00:00:32.364386,Antivirus Bitdefender Mobile Security 1 Poste / 1 an,https://www.tunisianet.com.tn/logiciel-antivirus-tunisie/47485-antivirus-bitdefender-mobile-security-1-poste.html
13_acer,Ordinateur de Bureau,TN,TND,"Ecran Dell 18.5"" HD - Résolution 1366 ",tunisianet.com.tn,https://www.tunisianet.com.tn/18309-home/ecran-acer-195-hd-led-v206hql.jpg,"219,000","219,000 DT",UM.IV6EE.A01,Ordinateur de Bureau,2021-05-01 00:00:33.282117,"Ecran Acer 19.5"" HD LED V206HQL",https://www.tunisianet.com.tn/ecran-pc-tunisie/6473-ecran-acer-195-hd-led-v206hql.html
96_bitdefe,Logiciels,TN,TND,"Antivirus Bitdefender Internet Security - Licence 1 Poste - Durée 1 an - Protège contre les virus, les logiciels espions, le phishing et les sites Web dangereux - Sécurise votre ordinateur sans le ralentir - S’installe et se configure facilement - Préserve la confidentialité de vos activités en ligne et de votre identité - Protection bancaire - Contrôle parental - Compatible avec PC, Mac et appareils mobiles",tunisianet.com.tn,https://www.tunisianet.com.tn/153955-home/antivirus-bitdefender-internet-security-1-poste-1-an.jpg,"19,000","19,000 DT",191117,Logiciels,2021-05-01 00:00:34.042224,Antivirus Bitdefender Internet Security / 1 Poste / 1 an,https://www.tunisianet.com.tn/logiciel-antivirus-tunisie/40304-antivirus-bitdefender-internet-security-1-poste-1-an.html
225_vega,Ordinateur Portable,TN,TND,"Ecran 14.1"" HD LED - Processeur Intel Atom Quad Core Z8350, up to 1.92 Ghz, 2 Mo de cache - RAM 4 Go - Stockage 64 Go - Carte graphique Intel HD Graphic - Windows 10 - USB 2.0 - HDMI - Lecteur de Cartes - WebCam 0.3MP - Couleur: Silver - Garantie: 1 an",tunisianet.com.tn,https://www.tunisianet.com.tn/172390-home/pc-portable-vegabook-plus-14-quad-core-4-go-silver.jpg,"479,000","479,000 DT",VEGABOOK-PLUS,Ordinateur Portable,2021-05-01 00:00:34.250835,Pc portable Vegabook Plus 14 / Quad Core / 4 Go / Silver,https://www.tunisianet.com.tn/pc-portable-tunisie/43678-pc-portable-vegabook-plus-14-quad-core-4-go-silver.html
17_noname,Accessoires et Périphériques,TN,TND,Connecteur BNC,tunisianet.com.tn,https://www.tunisianet.com.tn/39761-home/connecteur-bnc.jpg,"1,000","1,000 DT",BNC,Accessoires et Périphériques,2021-05-01 00:00:34.538669,Connecteur BNC,https://www.tunisianet.com.tn/accessoires-securite/14160-connecteur-bnc.html
270_versus,Ordinateur de Bureau,TN,TND,"Ecran Dell 18.5"" HD - Résolution 1366 ",tunisianet.com.tn,https://www.tunisianet.com.tn/176899-home/ecran-benq-27-full-hd-gw2780e.jpg,"219,000","219,000 DT",940064,Ordinateur de Bureau,2021-05-01 00:00:35.047835,"Ecran Versus 21.5"" LED HD",https://www.tunisianet.com.tn/ecran-pc-tunisie/44445-ecran-benq-27-full-hd-gw2780e.html
388_kasper,Logiciels,TN,TND,"Antivirus Bitdefender Internet Security - Licence 1 Poste - Durée 1 an - Protège contre les virus, les logiciels espions, le phishing et les sites Web dangereux - Sécurise votre ordinateur sans le ralentir - S’installe et se configure facilement - Préserve la confidentialité de vos activités en ligne et de votre identité - Protection bancaire - Contrôle parental - Compatible avec PC, Mac et appareils mobiles",tunisianet.com.tn,https://www.tunisianet.com.tn/176130-home/kaspersky-internet-security-2020-1-an-1-poste.jpg,"36,900","36,900 DT",KL19398BAFS-20FFPM,Logiciels,2021-05-01 00:00:35.135871,Kaspersky Internet Security 2020 - 1 an / 1 Poste,https://www.tunisianet.com.tn/logiciel-antivirus-tunisie/44334-kaspersky-internet-security-2020-1-an-1-poste.html
225_vega,Ordinateur Portable,TN,TND,"Ecran 14.1"" HD LED - Processeur Intel Atom Quad Core Z8350, up to 1.92 Ghz, 2 Mo de cache - RAM 4 Go - Stockage 64 Go - Carte graphique Intel HD Graphic - Windows 10 - USB 2.0 - HDMI - Lecteur de Cartes - WebCam 0.3MP - Couleur: Silver - Garantie: 1 an",tunisianet.com.tn,https://www.tunisianet.com.tn/198862-home/pc-portable-vegabook-plus-14-quad-core-4-go-silver.jpg,"479,000","479,000 DT",VEGABOOK.PLUS,Ordinateur Portable,2021-05-01 00:00:35.352306,Pc portable Vegabook Plus 14 / Quad Core / 4 Go / Silver,https://www.tunisianet.com.tn/pc-portable-tunisie/48873-pc-portable-vegabook-plus-14-quad-core-4-go-silver.html
